,madlad
4358,what is particularly bad is that the fragments of cluster bombs that remain in a human
4359,not only are these bombs indiscriminate because they can hit both civilians and soldiers
4360,"this makes it impossible to accurately target military targets , and thus increases the risk"
4361,"ultimately , these bombs also seem indiscriminate in terms of time , since if they"
4362,the Commission report now before us still shows weaknesses in the implementation of the directiv
4363,it is actually very sad for a society to have to find that this particular area needs such increased
4364,I therefore support the request for the directive to be revised as soon as possible .
4365,"however , we will not be able to do so by the end of the year 20"
4366,"Mr Silva , I regret to have to say that we are not in agreement on"
4367,"firstly , as regards the Association Council , there was complete agreement between the Member States and"
4368,"there were no oppositions here , but a common position ."
4369,I should like to add that I presented the proposal on behalf of my colleague
4370,"we also say that when we talk about these problems , we must first of all put people at"
4371,we are saying quite clearly that the life and human dignity of a Christian and a non
